STT;Tên sản phẩm (Tiếng Anh);Kích thước (mm);Độ dày (mm);Loại gạch;Trọng lượng (kg/m2);Số lượng viên/thùng;m2/thùng;Trọng lượng/thùng (kg);Số lượng thùng/pallet;Tiêu chuẩn chất lượng;Ghi chú;;
1;Granite/Porcelain Tiles;600x600;9.5;Granite/Porcelain;49;4;1.44;30;80;TCVN 7132:2002;;;
2;Granite/Porcelain Tiles;800x800;9.5;Granite/Porcelain;42;3;1.92;42;28;TCVN 7132:2002;;;
3;Granite/Porcelain Tiles;300x600;9.5;Granite/Porcelain;29;8;1.44;29;72;TCVN 7132:2002;;;
4;Granite/Porcelain Tiles;400x800;9.5;Granite/Porcelain;43.5;5;1.6;43.5;40;TCVN 7132:2002;;;
5;Full body Porcelain Tiles;400x400;9.5;Porcelain;33.5;6;0.96;33.5;40;TCVN 7132:2002;KIMSA full body;;
6;Sugar Porcelain Tiles;500x500;9.5;Porcelain;30.5;6;1.5;30.5;72;TCVN 7132:2002;KIMSA full body;;
7;Ceramic Tiles;500x500;8;Ceramic;28;6;1.5;28;72;TCVN 7132:2002;;;
8;Outdoor Tiles;500x500;12;Granite;32;6;1.5;32;72;ISO 13006;KIMSA full body;;
9;Matt Full body Porcelain Tiles;300x600;12;Porcelain;29;6;01.08;29;72;ISO 13006;KIMSA full body;;
10;Matt Full body Porcelain Tiles;400x600;12;Porcelain;38;6;1.44;38;48;ISO 13006;KIMSA full body;;
11;Matt Full body Porcelain Tiles;500x500;12;Porcelain;33;5;1.25;33;72;ISO 13006;KIMSA full body;;
12;Matt Full body Porcelain Tiles;600x600;12;Porcelain;37;4;1.44;37;64;ISO 13006;KIMSA full body;;
13;Granite Tiles;1000x1000;9.5;Granite;49;2;2;49;40;TCVN 7132:2002;;;
14;Glazed Porcelain Tiles;150x800;9.5;Porcelain;22.5;8;0.96;22.5;87;TCVN 7132:2002;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
STT;Kích thước (mm);Dòng sản phẩm;"Độ dày (mm)
(0.5mm)";Loại gạch;Số lượng viên/thùng;Trọng lượng (kg/m2);m2/thùng;Số lượng thùng/pallet;Tiêu chuẩn chất lượng;Container (20ft);;;
;;;;;;;;;;Pallets;Boxes;Kg;m2
1;600x600;Gạch Granite/Porcelain men matt;9.5;Granite/Porcelain;4;30;1,44;80;;;;;
2;;Gạch Granite/Porcelain mài bóng;9.5;Granite/Porcelain;4;30;1,44;80;;;;;
3;;Gạch Granite Porcelain 600x600mm matt định hình, KIMSA full body, siêu dày;12.1;Granite;4;37;1,44;64;;;;;
4;800x800;Gạch Granite/Porcelain men matt;9.5;Granite/Porcelain;3;42;1,92;28;;;;;
5;;Gạch Granite/Porcelain mài bóng;9.5;Granite/Porcelain;3;42;1,92;28;;;;;
6;300x600;Gạch Granite/Porcelain men matt;9.5;Granite/Porcelain;8;29;1,44;72;;;;;
7;;Gạch Granite/Porcelain mài bóng;9.5;Granite/Porcelain;8;29;1,44;72;;;;;
8;;Gạch Granite 300x600mm matt định hình, KIMSA full body dày 12mm (6 viên);12.1;Granite;6;29;1,08;72;;;;;
9;400x800;Gạch Granite/Porcelain men matt;9.5;Granite/Porcelain;5;43,5;1,6;40;;;;;
10;;Gạch Granite/Porcelain mài bóng;9.5;Granite/Porcelain;5;43,5;1,6;40;;;;;
11;500x500;Gạch Ceramic;8.1;Ceramic;6;28;1,5;72;;;;;
12;;Gạch Porcelain 500x500mm Sugar KIMSA fullbody (6 viên);9.5;Porcelain;6;30,5;1,5;72;;;;;
13;;Gạch Granite 500x500mm matt định hình, KIMSA full body (6 viên);9.5;Granite;5;32;1,5;72;;;;;
14;;Gạch Granite 500x500mm matt định hình, KIMSA full body, siêu dày (5 viên);12.1;Granite;5;33;1,25;72;;;;;
15;400x600;Gạch Granite 400x600mm matt định hình, KIMSA full body dày 12mm;12.1;Granite;6;38;1,5;48;;;;;
16;400x400;Gạch Porcelain 400x400mm KIMSA fullbody;9.5;Porcelain;8;23;1,28;84;;;;;
;1000x1000;Gạch Granite 1000x1000mm  KIMSA full body;9.5;Granite;2;49;2;40;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
BẢNG TIÊU CHUẨN CÁC DÒNG SẢN PHẨM - VICENZA;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
STT;Kích thước (mm);Dòng sản phẩm;"Độ dày (mm)
(0.5mm)";Loại gạch;Số lượng viên/thùng;Trọng lượng (kg/hộp);m2/thùng;Số lượng thùng/pallet;Tiêu chuẩn chất lượng;Container (20ft);;;
;;;;;;;;;;Pallets;Boxes;Kg;m2
1;600x600;Gạch Granite/Porcelain men matt;9.5;Granite/Porcelain;4;30;1.44;80;BIb;;;;
2;600x600;Gạch Granite/Porcelain mài bóng;9.5;Granite/Porcelain;4;30;1.44;80;BIb;;;;
3;600x600;Gạch Granite Porcelain 600x600mm matt định hình, KIMSA full body, siêu dày;12.0;Granite;4;37;1.44;64;BIa;;;;
